id,code,descripcion,similar
7592,40175211,Y de conexión para tubos de plástico hdpe,Conexión en Y para tubos de plástico hdpe
7593,40175212,Y de conexión para tubos de cobre,Conexión en Y para tubos de cobre
7594,40175300,Accesorios y bridas especializados para tubos,
7595,40175301,Bridas de amoniaco,Bridas para amoniaco
7596,40175302,Bridas de orificio,
7597,40175303,Salidas para ramas de tubería,
7598,40175304,Cajas de conexión de tubos,
7599,40175305,Insertos de tubos,Tapones de tubos
7600,40175306,Laterales de tubos,
7601,40175307,Sillas de tubos,Monturas y soportes para tubos
7602,40175308,Remates de secciones de tuberías,Remates para secciones de tuberías
7603,40175309,Bridas de paleta para tubos,
7604,40181500,Tubos de cobre soldados,
7605,40181501,Tubo doblado de cobre soldado,Tubo curvado de cobre soldado
7606,40181502,Tubo perforado de cobre soldado,Tubo agujerado de cobre soldado
7607,40181503,Tubo de remate final de cobre soldado,
7608,40181504,Tubo multipuerto de cobre soldado,
7609,40181505,Tubo biselado de cobre soldado,
7610,40181506,Ensamblaje de tubos de cobre soldado,
7611,40181600,Tubos de latón soldados,
7612,40181601,Tubo doblado de latón soldada,Tubo curvado de latón soldada
7613,40181602,Tubo perforado de latón soldada,Tubo agujerado de latón soldada
7614,40181603,Tubo de remate final de latón soldada,
7615,40181604,Tubo multipuerto de latón soldada,
7616,40181605,Tubo biselado de latón soldada,
7617,40181606,Ensamblaje de tubos de latón soldada,
7618,40181700,Tubos de aluminio soldados,
7619,40181701,Tubo doblado de aluminio soldado,Tubo curvado de aluminio soldado
7620,40181702,Tubo perforado de aluminio soldado,Tubo agujereado de aluminio soldado
7621,40181703,Tubo de remate final de aluminio soldado,
7622,40181704,Tubo multipuerto de aluminio soldado,
7623,40181705,Tubo biselado de aluminio soldado,
7624,40181706,Ensamblaje de tubos de aluminio soldado,
7625,40181800,Tubos de acero soldados,
7626,40181801,Tubo doblado de acero soldado,Tubo curvado  de acero soldado
7627,40181802,Tubo perforado de acero soldado,Tubo agujerado de acero soldado
7628,40181803,Tubo de remate final de acero soldado,
7629,40181804,Tubo multipuerto de acero soldado,
7630,40181805,Tubo biselado de acero soldado,
7631,40181806,Ensamblaje de tubos de acero soldado,
7632,40181900,Tubos de acero inoxidable soldados,
7633,40181901,Tubo doblado de acero inoxidable soldado,Tubo curvado de acero inoxidable soldado
7634,40181902,Tubo perforado de acero inoxidable soldado,Tubo agujereado de acero inoxidable soldado
7635,40181903,Tubo de remate final de acero inoxidable soldado,
7636,40181904,Tubo multipuerto de acero inoxidable soldado,
7637,40181905,Tubo biselado de acero inoxidable soldado,
7638,40181906,Ensamblaje de tubos de acero inoxidable soldado,
7639,40182000,Tubos de cobre sin uniones,
7640,40182001,Tubo doblado de cobre sin uniones,Tubo curvado de cobre sin uniones
7641,40182002,Tubo perforado de cobre sin uniones,Tubo agujerado de cobre sin uniones
7642,40182003,Tubo de remate final de cobre sin uniones,
7643,40182004,Tubo multipuerto de cobre sin uniones,
7644,40182005,Tubo biselado de cobre sin uniones,
7645,40182006,Ensamblaje de tubos de cobre sin uniones,
7646,40182100,Tubos de latón sin uniones,
